reviewerID,asin,Make,title,reviewerName,helpful,reviewText,overall,summary,reviewDate
A3SO1OKCBUUNOR,B0006HU4DK,Apple,"Apple MacBook Air MB003LL/A 13.3 Inch Laptop (1.6 GHz Intel Core 2 Duo Processor, 2 GB RAM, 80 GB Hard Drive)",A. ALFALIH,"[15,18]","I have had this little miracle for a couple of weeks and I absolutely love it, in fact I take it with me anywhere I go. Alot fo people are negative about this product because of it's lack of a DVD drive and an ethernet port, I very very rarely use them so it fits me just fine. You should note that the Air was not intended as an all in one computing solution but as an extension of your system. An iMac and Macbook Air would fit perfectely together for around the price of the MacBook Pro.The fit and finish is spectacular, it feels light yet solid. Other laptops in this weight range feel flimsy, none of that here.Performance is much better than i had anticipated, the 2GB of ram really do make a diference. It does suffer with very very high resolution 1080P videos but other than that it's pretty snappy. Much more so than any other portable in its range.I would recomened you stick to this configuration, the higher processor is not worth the extra 300 USD and the SSD drive is definately not worth an extra 1K!!!What are you waiting for? add the damn thing to your cart already!!!",5,Fantastic little laptop!!!,03/03/2008
A2YVYQ4CK97HUW,B0006HU4DK,Apple,"Apple MacBook Air MB003LL/A 13.3 Inch Laptop (1.6 GHz Intel Core 2 Duo Processor, 2 GB RAM, 80 GB Hard Drive)","A.H. ""lovetotweet""","[5,5]","I cannot begin to describe how much I love this laptop!  I won't provide a technical review as I am sure other reviewers are much more competent to do so.  I purchased this laptop for work and graduate school as soon as they came out.  I first switched to Apple about 3 years ago, and since that time I have owned a PowerBook G4 12"" which I traded up for the MacBook Pro 15"" and decided it was too big (can you tell I want something small?).  So, when the MacBook Air came out, I gave my husband my Pro and purchased this.  I couldn't be more satisfied with it.  It is fast, well-constructed and lightweight with a beautiful, clear screen, all of which are essentials for my computer happiness!  The touchpad is awesome...I find myself wishing that my iMac mouse had a similar feature.  I do not find the lack of an optical drive problematic; I purchased the $99 external drive and, as I said, also have an iMac, so program installation, CD uploading, etc., is not a problem for me.  The external drive is also small enough that you can pack it up in your case and bring it with you if need be.  The battery life is fantastic: I can take class notes for 3 hours straight and still have plenty of juice for another hour or two of use...if I had to estimate battery time, I'd say it consistently gives me 4 1/2 to 5 hours of use.  I do not do a lot of video editing or gaming, etc., but I do use this for way more than email, including tons of writing, business uses, and web design.  It isn't the task master that the Pro's are, but it's convenience makes up for any shortcomings.  So, it basically comes down to what works for you, and because my primary computer is an iMac, the portability, speed, and ease of use of the MacBook Air is a great choice.",5,Completely Amazing!,06/18/2008
A9HVYH0WIP8XI,B0006HU4DK,Apple,"Apple MacBook Air MB003LL/A 13.3 Inch Laptop (1.6 GHz Intel Core 2 Duo Processor, 2 GB RAM, 80 GB Hard Drive)","Alan W. Demonbreun ""Road Dog""","[3,3]",I have been very pleased with my Mac book Air. It has worked perfect since I first turned it on. Migrated from my old Mac Book without a hitch. Booted the Mac Book Air and everything was there even parallels and windows with all my windows programs intact. I love it.,4,Great Laptop,07/17/2008
A1ZWIOWUI8USN9,B0006HU4DK,Apple,"Apple MacBook Air MB003LL/A 13.3 Inch Laptop (1.6 GHz Intel Core 2 Duo Processor, 2 GB RAM, 80 GB Hard Drive)","BC Nomad ""BC""","[12,37]","Good for checking emails, and very light word/excel processing work. Otherwise it is really more a gadget than a real computer. Hard drive is too small for using it as a standard computer as you cannot store much info/data. Processing power too slow and even airport does not pick up all signals. Nice gadget...that's all it is. I do not recommend it.",1,Do not waste your time and money,07/12/2008
A1OFGHUVBID9NW,B0006HU4DK,Apple,"Apple MacBook Air MB003LL/A 13.3 Inch Laptop (1.6 GHz Intel Core 2 Duo Processor, 2 GB RAM, 80 GB Hard Drive)",Axel Grothey,"[166,169]","I just came back from a 3-day trip - my first travel experience with the MacBook Air. I do own a first generation MacBook Pro and was honestly tempted at first to bring it along in case I need ""it"". ""It"" mainly referred to the DVD drive, built-in ethernet and perhaps superior hard-drive speed/access time. I decided to go with the MacBook Air alone (and the USB ethernet adapter) - and see what happens.It went great. First of all, the bag on my shoulder felt almost unreasonably light. Battery life was more than sufficient to support my three-hour flight with about 25% of capacity left at the end. Connecting to the internet at the airport (via wi-fi) and in the hotel (USB-ethernet adapter) was a breeze (note, however, that I did need the $29 USB-ethernet adapter).At the conference, laptop-envy abounded... quite amazing, actually. The reaction of someone who has never seen it to its size, sturdiness, and form factor is quite impressive.I ichatted with my family without problems with good quality video; the systems overall felt a bit more responsive than my 2-year old MacBook Pro with the first-generation Core Duo chip.If you want a light, thin, sturdy laptop with full-size keyboard, a gorgeous screen, MacOS X (10.5), and you don't necessarily need a CD/DVD drive (you can buy an external one, but somehow lugging this extra piece around somehow defies the purpose of the MBA), and can put up with not ""optimal"" hard-drive performance, then the MBA is exactly what you want!I would buy the USB-ethernet adapter, though.If you need high-speed performance, FireWire, a high-end graphics card, a built-in DVD/CD drive etc, then the MBA is not for you - but I guess then you would not be looking at this page...;)Honestly, I could not be happier with my purchase. My MB Pro will be up on eBay soon...Update:I have been using my MacBook Air now for 4 weeks and have taken it on several trips. This now allows me to update some of the comments made before.- Battery life: I am quite happy with the battery life which easily allows 3-4 hours of text processing, PowerPoint slide generation, and EndNote work. For me this mainly happens on flights which allows to lower the brightness of the LED screen to save power. I have not pushed my MBA to play videos. In fact, I have no digital entertainment files on it since these files can fill up the (limited) space on the drive quite fast.- Ports: One USB port is not enough! For instance, if you have to connect to the internet via USB adapter (again, still indispensable!), you block the one and only USB port - unless you carry a USB hub along (Belkin has a nice 4-port one with a swivel design, but quite pricey). Thus, I have added a small USB hub to my travel utensils.- Design: The MBA still turns heads and sparks comments. In fact, on one of my flights the captain himself left the cockpit to take a look after one of the flight attendants had told him about the MBA on my lap...- Heat: The MBA is MUCH cooler than my MacBook Pro. You can easily keep it on your lap without feeling uncomfortable.My wish list for future MBA generations:- At least 2 USB ports. Should be easy to do.- Reconsider built-in ethernet - the USB adapter works fine, but blocks the one USB port at this point.- As soon as larger 1.8'' drives (HD or SSD) are available, they will surely find its way into the MBA to overcome some space limitations.- It might surprise some, but I honestly do not see a great need for a swapable battery. I would leave it as is in order to keep the amazing form factor.",5,I own a MacBook Air... (update),02/16/2008
A3TS1MCJFVLAYF,B0006HU4DK,Apple,"Apple MacBook Air MB003LL/A 13.3 Inch Laptop (1.6 GHz Intel Core 2 Duo Processor, 2 GB RAM, 80 GB Hard Drive)","A. Condayan ""AC""","[3,3]","It was a gift to me so I can finish writing a book. It's so lightweight that I carry it around with ease. I am able to write in bed, too. It's really a blessing since I'm on the go so much. This laptop also performs wonderfully. I love it. I highly recommend it.",5,Awesome Macbook Air,07/13/2008
A2O5ID5SZ8KHPP,B0006HU4DK,Apple,"Apple MacBook Air MB003LL/A 13.3 Inch Laptop (1.6 GHz Intel Core 2 Duo Processor, 2 GB RAM, 80 GB Hard Drive)",Bern,"[2,2]","I loved my MBA when I recieved it as a gift in July 2008. I was so pleased with it - great graphics, the ""cool"" factor, perfect for all I needed it for (as a writer and photographer, the storage was excellent and the application were perfect).However, after having it for only six months, I noticed the screen was wobbling back and forth alarmingly. I was more gentle with it than before - this computer needs a lot of TLC, the lid scratches easily and the screen must be cleaned regularly for fear of the dreaded ""fingerprint"" marks.In about December, the screen was now wobbling up and down AND side to side. I was very worried about it, but I needed the laptop for my work and studies. I didn't think it was really a problem though, as I had been assured the design was ""robust"".Then in April 2009 the right side hinge snapped. I was shuttin the screen as I usually do and I heard a loud ""snap"". I tried to open it once to see if the hardware still worked, and found that everything was in order. It appeared that the hinge had broken through the plastic inverter which joins the base to the lid. I took it into the Apple store here and they informed me that they wouldn't cover it unless I could find the receipt which showed I had paid the tax on the laptop. The next few months were spent trying to track the thing down, and yesterday, when I took it to two separate Apple stores who told me that, whether it was under warranty or not, Apple would not fix the hinge under it as they classed it as ""user damage"". I dare anyone to type in the words ""Macbook Air hinge"" into Google and see the problems with the hinge. There are so many people with the same problem that it can't be a coincidence. I live in South Africa, and the Apple stores here state that Apple itself have sent out a blanket statement to ALL Apple stores saying the hinge is classed as ""user damage"". That very action shows the amount of complaints they must have had regarding this problem. The MBA is a rare computer in South Africa, which adds to the controversy.Apparently, I have seen that the second version of this MBA (the Revolution B) has a different hinge contraption on it, showing that Apple must know about the fault.So, beware if you want to buy this laptop. The technical specs are great (baring the lack of DVD drive, FW and only one USB port - but if you wanted that, then why buy a ""cool"" computer) and the running speeds are brilliant. However, this issue is simply with Apple's customer service with something which is not the user's fault which I have issue with here. Make sure you buy the Revolution B laptop if you can.On a side note? It'll take R7000 to fix the hinge (the screen and hinge are joined), which I can't afford. That's half the price of the entire laptop. So I'm probably going to buy a different Macbook, one that isn't as powerful but is thicker, sturdier with a DVD RW incorperated.",2,Great computer but faulty hinge,08/19/2009
A2HW8E265889IZ,B0006HU4DK,Apple,"Apple MacBook Air MB003LL/A 13.3 Inch Laptop (1.6 GHz Intel Core 2 Duo Processor, 2 GB RAM, 80 GB Hard Drive)","blst ""64blk""","[13,20]","2nd generation MBA with 45nm Penryn will solve current problems such as storage, interface connector, blackout problem, while most of the beauty of it will remain the same. I need to emphasize that I LOVE MBA design. First, 80GB is so small that you will see more than 1/2 of 80GB is required by OS, VM and major applications. Performance is getting even slower due to its storage bottleneck. At least two USBs and Ethernet are must. It is sacrificing flexibility so much to reduce its size and weight but I do not feel it does not have a fair balance for regular users. I still encounter occasional blackout and freeze problem when I leave it for a few hours, which has not been solved even through Apple's technical support.I definitely think next one will be much better and Apple knows how we feel about MBA. I believe they could respond to what we feel very soon.",3,Better to wait for 2nd generation. It must come out soon.,04/30/2008
ALC8GWG94ZBEW,B0006HU4DK,Apple,"Apple MacBook Air MB003LL/A 13.3 Inch Laptop (1.6 GHz Intel Core 2 Duo Processor, 2 GB RAM, 80 GB Hard Drive)",Cameron,"[0,0]",Great Product for the money you spendWorks fast and never crashes or takes time to loadClean Screen Graphics and programs on computer,5,Works Like A Charm,07/25/2013
A1SJ3HXDB05I8B,B0006HU4DK,Apple,"Apple MacBook Air MB003LL/A 13.3 Inch Laptop (1.6 GHz Intel Core 2 Duo Processor, 2 GB RAM, 80 GB Hard Drive)",C. Huang,"[2,3]","OMG simple words cannot describe how much I love my macbook air! Trust me, after you convert from a pc to a mac, you will understand why the designs and functionality is different. I can totally understand why a useless CD rom drive wasn't included and why bluetooth and wireless n was. I can understand why the lenovo /ibm thinkpad x300 simply sucks compare to this because of it's ugly design and speed. This laptop ladies and gentlemen, is the laptop you wanna use at home, in your office, on the go, in the office shop, and in libraries. I love cars, if I were to compare, this laptop would be like my Porsche and the x300 would be like a ugly Japanese car that has more functions than you ever need. Simplicity IS elegant. Everyday when I use this laptop IT makes me happy. Just like every time when I step into my Porsche and that alone, makes my day.One other thing is, NO MORE COMPUTER VIRUS! Imagine you can open emails without been afraid, and surf the internet to whatever website you want!",5,I LOVE IT LOVE IT LOVE IT LOVE IT LOVE IT!!!,12/05/2008
